title,company,location,salary,job_type,work_arrangement,date_posted,job_link,country,source
Application Support Lead (Java),CXC Singapore Pte Ltd,Robinson,"102,000-138,000 SGD",[],,2 hours ago,/job/application-support-lead-java-cxc-singapore-pte-ltd-robinson-33763842,SG,founditsg
IT Project Manager,CXC Singapore Pte Ltd,Robinson,"72,000-102,000 SGD",[],,2 hours ago,/job/it-project-manager-cxc-singapore-pte-ltd-robinson-33763841,SG,founditsg
Senior Java Developer,CXC Singapore Pte Ltd,Robinson,"90,000-126,000 SGD",[],,2 hours ago,/job/senior-java-developer-cxc-singapore-pte-ltd-robinson-33763840,SG,founditsg
Middleware Engineer,CXC Singapore Pte Ltd,Robinson,"72,000-102,000 SGD",['Contract Job'],,2 hours ago,/job/middleware-engineer-cxc-singapore-pte-ltd-robinson-33763839,SG,founditsg
Java Lead,CXC Singapore Pte Ltd,Robinson,"102,000-138,000 SGD",['Contract Job'],,2 hours ago,/job/java-lead-cxc-singapore-pte-ltd-robinson-33763838,SG,founditsg
,,,,,,,,SG,founditsg
Full Stack Developer (Java),CXC Singapore Pte Ltd,Robinson,"66,000-102,000 SGD",[],,2 hours ago,/job/full-stack-developer-java-cxc-singapore-pte-ltd-robinson-33763843,SG,founditsg
Principal Product Consultant (Triple A+ and Temenos),Ploy Asia Pte. Ltd,Singapore,"48,000-60,000 SGD",['Contract Job'],,a day ago,/job/principal-product-consultant-triple-a-and-temenos-ploy-asia-pte-ltd-singapore-33738848,SG,founditsg
Salesforce Solution Lead,Ploy Asia Pte. Ltd,Singapore,"144,000-156,000 SGD",['Contract Job'],,a day ago,/job/salesforce-solution-lead-ploy-asia-pte-ltd-singapore-33738807,SG,founditsg
Cloud Presales Specialist,Ploy Asia Pte. Ltd,Singapore,"48,000-60,000 SGD",[],,a day ago,/job/cloud-presales-specialist-ploy-asia-pte-ltd-singapore-33738825,SG,founditsg
Pega Developer,Ploy Asia Pte. Ltd,Singapore,"72,000-108,000 SGD",['Contract Job'],,a day ago,/job/pega-developer-ploy-asia-pte-ltd-singapore-33738834,SG,founditsg
ServiceNow Developer (FSM),Ploy Asia Pte. Ltd,Singapore,"48,000-60,000 SGD",['Contract Job'],,a day ago,/job/servicenow-developer-fsm-ploy-asia-pte-ltd-singapore-33738835,SG,founditsg
Pega Technical Project Manager,Ploy Asia Pte. Ltd,Singapore,"48,000-60,000 SGD",[],,a day ago,/job/pega-technical-project-manager-ploy-asia-pte-ltd-singapore-33738855,SG,founditsg
Senior Software Engineer (React JS & TypeScript),Ploy Asia Pte. Ltd,Singapore,"144,000-156,000 SGD",['Contract Job'],,a day ago,/job/senior-software-engineer-react-js-typescript-ploy-asia-pte-ltd-singapore-33738826,SG,founditsg
Assosiate System Engineer,Opensource Pte Ltd,Choa Chu Kang,"42,000-60,000 SGD",[],,8 hours ago,/job/assosiate-system-engineer-opensource-pte-ltd-choa-chu-kang-34924544,SG,founditsg
Network Infrastructure Engineer,Helius Technologies Pte Ltd,"Changi Road, Jurong West, Marina","12,000-60,000 SGD",['Contract Job'],,9 hours ago,/job/network-infrastructure-engineer-helius-technologies-pte-ltd-changi-road-jurong-west-marina-34924227,SG,founditsg
Senior Software Developer (.Net),Helius Technologies Pte Ltd,Singapore,"84,000-90,000 SGD",['Contract Job'],,2 days ago,/job/senior-software-developer-net-helius-technologies-pte-ltd-singapore-34896526,SG,founditsg
SAP HCM (Functional) | Contract,Zenith Infotech (S) Pte Ltd,Singapore,"60,000-78,000 SGD",['Contract Job'],,5 days ago,/job/sap-hcm-functional-contract-zenith-infotech-s-pte-ltd-singapore-33772827,SG,founditsg
SAP HCM Consultant,Zenith Infotech (S) Pte Ltd,Singapore,"60,000-78,000 SGD",['Contract Job'],,5 days ago,/job/sap-hcm-consultant-zenith-infotech-s-pte-ltd-singapore-33772791,SG,founditsg
Cybersecurity Engineer (GRC),Zenith Infotech (S) Pte Ltd,Singapore,"72,000-96,000 SGD",[],,5 days ago,/job/cybersecurity-engineer-grc-zenith-infotech-s-pte-ltd-singapore-33772790,SG,founditsg
