title,company,location,salary,job_type,work_arrangement,date_posted,job_link,country,source,category
Senior Presales Solutions Engineer (DSC/CY/I2),ST Engineering,Jurong West,"6,000-9,600 SGD",[],,12 hours ago,/job/senior-presales-solutions-engineer-dsc-cy-i2-st-engineering-jurong-west-34964217,SG,founditsg,['Sales Exec/Sales Representative']
System Integration Engineers (DSC/CY/I2),ST Engineering,West Coast,"3,600-6,000 SGD",[],,12 hours ago,/job/system-integration-engineers-dsc-cy-i2-st-engineering-west-coast-34964364,SG,founditsg,['System Analyst/Tech Architect']
System Integration Engineers (DSC/CY/I2),ST Engineering,Jurong East,"3,600-6,000 SGD",[],,12 hours ago,/job/system-integration-engineers-dsc-cy-i2-st-engineering-jurong-east-34964363,SG,founditsg,['System Analyst/Tech Architect']
DevSecOps Lead,ST Engineering,Jurong East,"8,400-12,000 SGD",[],,14 hours ago,/job/devsecops-lead-st-engineering-jurong-east-34963762,SG,founditsg,['Systems Engineer']
Assistant Project Maanger (DSC/CY/I2),ST Engineering,West Coast,"6,000-9,600 SGD",[],,14 hours ago,/job/assistant-project-maanger-dsc-cy-i2-st-engineering-west-coast-34963871,SG,founditsg,['Project Leader/Project Manager']
,,,,,,,,SG,founditsg,
Principal AI Engineer - Mechanical / Mechatronics,ST Engineering,Singapore,"840-2,160 SGD",[],,14 hours ago,/job/principal-ai-engineer-mechanical-mechatronics-st-engineering-singapore-34963870,SG,founditsg,['Mechatronics Engineer']
Principal AI Engineer,ST Engineering,Singapore,"840-2,160 SGD",[],,14 hours ago,/job/principal-ai-engineer-st-engineering-singapore-34963877,SG,founditsg,['Software Engineer/Programmer']
Principal AI Engineer - Simulation,ST Engineering,Singapore,"840-2,160 SGD",[],,14 hours ago,/job/principal-ai-engineer-simulation-st-engineering-singapore-34963876,SG,founditsg,['Software Engineer/Programmer']
Assistant Project Maanger (DSC/CY/I2),ST Engineering,Jurong East,"6,000-9,600 SGD",[],,14 hours ago,/job/assistant-project-maanger-dsc-cy-i2-st-engineering-jurong-east-34963875,SG,founditsg,['Project Leader/Project Manager']
Principal AI Engineer - Unmanned Autonomous Systems,ST Engineering,Singapore,"840-2,160 SGD",[],,14 hours ago,/job/principal-ai-engineer-unmanned-autonomous-systems-st-engineering-singapore-34963828,SG,founditsg,['Software Engineer/Programmer']
Principal AI Engineer - Robotics Control,ST Engineering,Singapore,"840-2,160 SGD",[],,14 hours ago,/job/principal-ai-engineer-robotics-control-st-engineering-singapore-34963831,SG,founditsg,['Software Engineer/Programmer']
AI / ML Engineer (DSC/CY/16612),ST Engineering,Singapore,"840-2,160 SGD",[],,13 hours ago,/job/ai-ml-engineer-dsc-cy-16612-st-engineering-singapore-34963974,SG,founditsg,['Software Engineer/Programmer']
Service Engineer (DSC/TE/17590),ST Engineering,Singapore,"3,600-7,200 SGD",[],,13 hours ago,/job/service-engineer-dsc-te-17590-st-engineering-singapore-34963976,SG,founditsg,['Software Engineer/Programmer']
Principal AI Engineer,ST Engineering,Jurong East,"840-2,160 SGD",[],,13 hours ago,/job/principal-ai-engineer-st-engineering-jurong-east-34963980,SG,founditsg,['Software Engineer/Programmer']
Assistant Business Unit Operations Manager (DSC/CY/I2),ST Engineering,West Coast,"6,000-8,400 SGD",[],,13 hours ago,/job/assistant-business-unit-operations-manager-dsc-cy-i2-st-engineering-west-coast-34963897,SG,founditsg,['Operations Manager']
Senior Cloud Infrastructure Engineer - DSC/EZ,ST Engineering,Singapore,"1,440-2,880 SGD",[],,11 hours ago,/job/senior-cloud-infrastructure-engineer-dsc-ez-st-engineering-singapore-34964572,SG,founditsg,['Other Roles']
IT Infrastructure Project Manager - DSC/EZ,ST Engineering,Singapore,"3,600-5,760 SGD",[],,11 hours ago,/job/it-infrastructure-project-manager-dsc-ez-st-engineering-singapore-34964583,SG,founditsg,['Project Leader/Project Manager']
Data Architect - DSC/MC,ST Engineering,Singapore,"1,440-2,880 SGD",[],,11 hours ago,/job/data-architect-dsc-mc-st-engineering-singapore-34964532,SG,founditsg,['Data Analyst']
Cloud Security Architect - DS/EZ,ST Engineering,Singapore,"1,440-2,880 SGD",[],,11 hours ago,/job/cloud-security-architect-ds-ez-st-engineering-singapore-34964537,SG,founditsg,['Security Analyst']
Lead Engineer (DSC/TE/18031),ST Engineering,Jurong East,"1,440-2,880 SGD",[],,11 hours ago,/job/lead-engineer-dsc-te-18031-st-engineering-jurong-east-34964567,SG,founditsg,['Software Engineer/Programmer']
Senior/ UIUX Designer - Entry level candidates welcome (DSC/EZ),ST Engineering,Singapore,"1,440-2,880 SGD",[],,11 hours ago,/job/senior-uiux-designer-entry-level-candidates-welcome-dsc-ez-st-engineering-singapore-34964568,SG,founditsg,['Software Engineer/Programmer']
Lead Engineer (DSC/TE/18031),ST Engineering,West Coast,"1,440-2,880 SGD",[],,11 hours ago,/job/lead-engineer-dsc-te-18031-st-engineering-west-coast-34964571,SG,founditsg,['Software Engineer/Programmer']
Software Engineer (Entry level candidates welcome) - DSC/EZ,ST Engineering,Singapore,"1,440-2,880 SGD",[],,11 hours ago,/job/software-engineer-entry-level-candidates-welcome-dsc-ez-st-engineering-singapore-34964570,SG,founditsg,['Software Engineer/Programmer']
"Senior Manager, Robotics Unit (LS/JBL)",ST Engineering,Singapore,"2,160-3,600 SGD",[],,12 hours ago,/job/senior-manager-robotics-unit-ls-jbl-st-engineering-singapore-34964398,SG,founditsg,['Electronics Engineer']
System Integration and Test Lead (DSC/TE/18365),ST Engineering,Singapore,"1,440-2,880 SGD",[],,12 hours ago,/job/system-integration-and-test-lead-dsc-te-18365-st-engineering-singapore-34964392,SG,founditsg,['SDET Engineer']
"Senior Executive, Finance (GC/SW)",ST Engineering,Singapore,"2,160-3,600 SGD",[],,12 hours ago,/job/senior-executive-finance-gc-sw-st-engineering-singapore-34964449,SG,founditsg,['Finance Manager']
Material Master Data Executive (GC/SW),ST Engineering,Singapore,"2,160-3,600 SGD",[],,12 hours ago,/job/material-master-data-executive-gc-sw-st-engineering-singapore-34964451,SG,founditsg,['Data Analyst']
Facilities Engineer - 2 yrs contract (GC/SW),ST Engineering,Singapore,"2,160-3,600 SGD",[],,11 hours ago,/job/facilities-engineer-2-yrs-contract-gc-sw-st-engineering-singapore-34964450,SG,founditsg,['Facilities Manager']
Lead Engineer (DSC/TE/18031),ST Engineering,Singapore,"1,440-2,880 SGD",[],,11 hours ago,/job/lead-engineer-dsc-te-18031-st-engineering-singapore-34964513,SG,founditsg,['Software Engineer/Programmer']
Penetration Tester (DSC/JH),ST Engineering,Jurong East,"3,600-7,200 SGD",[],,11 hours ago,/job/penetration-tester-dsc-jh-st-engineering-jurong-east-34964469,SG,founditsg,['Software Engineer/Programmer']
