title,category,company,location,country,min_salary,max_salary,avg_salary,currency,job_type,work_arrangement,level,date_posted,job_link,source
Senior Presales Solutions Engineer (DSC/CY/I2),It consulting & Solutions,ST Engineering,Jurong West,SG,6000,9600,7800,SGD,,,,2025-05-28,https://www.foundit.sg/job/senior-presales-solutions-engineer-dsc-cy-i2-st-engineering-jurong-west-34964217,founditsg
System Integration Engineers (DSC/CY/I2),Infra & System,ST Engineering,West Coast,SG,3600,6000,4800,SGD,,,,2025-05-28,https://www.foundit.sg/job/system-integration-engineers-dsc-cy-i2-st-engineering-west-coast-34964364,founditsg
System Integration Engineers (DSC/CY/I2),Infra & System,ST Engineering,Jurong East,SG,3600,6000,4800,SGD,,,,2025-05-28,https://www.foundit.sg/job/system-integration-engineers-dsc-cy-i2-st-engineering-jurong-east-34964363,founditsg
DevSecOps Lead,Other,ST Engineering,Jurong East,SG,8400,12000,10200,SGD,,,,2025-05-28,https://www.foundit.sg/job/devsecops-lead-st-engineering-jurong-east-34963762,founditsg
Assistant Project Maanger (DSC/CY/I2),Other,ST Engineering,West Coast,SG,6000,9600,7800,SGD,,,,2025-05-28,https://www.foundit.sg/job/assistant-project-maanger-dsc-cy-i2-st-engineering-west-coast-34963871,founditsg
,Other,,,SG,,,,,,,,,,founditsg
Principal AI Engineer - Mechanical / Mechatronics,AI / Data science,ST Engineering,Singapore,SG,840,2160,1500,SGD,,,,2025-05-28,https://www.foundit.sg/job/principal-ai-engineer-mechanical-mechatronics-st-engineering-singapore-34963870,founditsg
Principal AI Engineer,AI / Data science,ST Engineering,Singapore,SG,840,2160,1500,SGD,,,,2025-05-28,https://www.foundit.sg/job/principal-ai-engineer-st-engineering-singapore-34963877,founditsg
Principal AI Engineer - Simulation,AI / Data science,ST Engineering,Singapore,SG,840,2160,1500,SGD,,,,2025-05-28,https://www.foundit.sg/job/principal-ai-engineer-simulation-st-engineering-singapore-34963876,founditsg
Assistant Project Maanger (DSC/CY/I2),Other,ST Engineering,Jurong East,SG,6000,9600,7800,SGD,,,,2025-05-28,https://www.foundit.sg/job/assistant-project-maanger-dsc-cy-i2-st-engineering-jurong-east-34963875,founditsg
Principal AI Engineer - Unmanned Autonomous Systems,AI / Data science,ST Engineering,Singapore,SG,840,2160,1500,SGD,,,,2025-05-28,https://www.foundit.sg/job/principal-ai-engineer-unmanned-autonomous-systems-st-engineering-singapore-34963828,founditsg
Principal AI Engineer - Robotics Control,AI / Data science,ST Engineering,Singapore,SG,840,2160,1500,SGD,,,,2025-05-28,https://www.foundit.sg/job/principal-ai-engineer-robotics-control-st-engineering-singapore-34963831,founditsg
AI / ML Engineer (DSC/CY/16612),AI / Data science,ST Engineering,Singapore,SG,840,2160,1500,SGD,,,,2025-05-28,https://www.foundit.sg/job/ai-ml-engineer-dsc-cy-16612-st-engineering-singapore-34963974,founditsg
Service Engineer (DSC/TE/17590),Software/Web Development,ST Engineering,Singapore,SG,3600,7200,5400,SGD,,,,2025-05-28,https://www.foundit.sg/job/service-engineer-dsc-te-17590-st-engineering-singapore-34963976,founditsg
Principal AI Engineer,AI / Data science,ST Engineering,Jurong East,SG,840,2160,1500,SGD,,,,2025-05-28,https://www.foundit.sg/job/principal-ai-engineer-st-engineering-jurong-east-34963980,founditsg
Assistant Business Unit Operations Manager (DSC/CY/I2),Other,ST Engineering,West Coast,SG,6000,8400,7200,SGD,,,,2025-05-28,https://www.foundit.sg/job/assistant-business-unit-operations-manager-dsc-cy-i2-st-engineering-west-coast-34963897,founditsg
Senior Cloud Infrastructure Engineer - DSC/EZ,Infra & System,ST Engineering,Singapore,SG,1440,2880,2160,SGD,,,,2025-05-28,https://www.foundit.sg/job/senior-cloud-infrastructure-engineer-dsc-ez-st-engineering-singapore-34964572,founditsg
IT Infrastructure Project Manager - DSC/EZ,Project & Product Management,ST Engineering,Singapore,SG,3600,5760,4680,SGD,,,,2025-05-28,https://www.foundit.sg/job/it-infrastructure-project-manager-dsc-ez-st-engineering-singapore-34964583,founditsg
Data Architect - DSC/MC,Architecture,ST Engineering,Singapore,SG,1440,2880,2160,SGD,,,,2025-05-28,https://www.foundit.sg/job/data-architect-dsc-mc-st-engineering-singapore-34964532,founditsg
Cloud Security Architect - DS/EZ,Architecture,ST Engineering,Singapore,SG,1440,2880,2160,SGD,,,,2025-05-28,https://www.foundit.sg/job/cloud-security-architect-ds-ez-st-engineering-singapore-34964537,founditsg
Lead Engineer (DSC/TE/18031),Software/Web Development,ST Engineering,Jurong East,SG,1440,2880,2160,SGD,,,,2025-05-28,https://www.foundit.sg/job/lead-engineer-dsc-te-18031-st-engineering-jurong-east-34964567,founditsg
