title,company,location,salary,job_type,work_arrangement,date_posted,job_link,country,source,avg_salary,min_salary,max_salary,currency,cleaned_title,level,category
Sustainability Project Management & Integration Manager/Officer,Siam Commercial Bank,Bangkok,,Full time,Hybrid,2025-05-21,https://th.jobsdb.com/job/82266970,TH,jobsdbth,,,,,sustainability project management integration manager/officer,Manager,Project & Product Management
Project Coordinator,Mizuhada Group,"Sathon, Bangkok",,Full time,On-site,2025-05-20,https://th.jobsdb.com/job/84334883,TH,jobsdbth,,,,,project coordinator,,Project & Product Management
Project Manager & Business Analyst (PM/BA),Digio (Thailand),"Huai Khwang, Bangkok",,Full time,On-site,2025-05-08,https://th.jobsdb.com/job/84091011,TH,jobsdbth,,,,,project manager business analyst pm/ba,Manager,Project & Product Management
IT Project Manager,"SCB Tech X Co., Ltd.",Bangkok,,Full time,Hybrid,2025-05-06,https://th.jobsdb.com/job/81286277,TH,jobsdbth,,,,,it project manager,Manager,Project & Product Management
Product Owner,"Arise By Infinitas Co., Ltd.",Bangkok,,Full time,Hybrid,2025-05-16,https://th.jobsdb.com/job/81418407,TH,jobsdbth,,,,,product owner,,Project & Product Management
Business Analyst / System Analyst,MFEC,"Chatuchak, Bangkok",,Full time,On-site,2025-05-06,https://th.jobsdb.com/job/84018698,TH,jobsdbth,,,,,business analyst / system analyst,,Data & Analytics
(Junior Level) Programmer/Backend (ยินดีรับน้องจบใหม่),Bangkok Bank,Bangkok,,Full time,On-site,2025-05-02,https://th.jobsdb.com/job/83962281,TH,jobsdbth,,,,,junior level programmer/backend ยนดรบนองจบใหม,Junior,Software/Web Development
Data Analyst & Visualization (Base G Tower Rama9),Central Pattana,"Huai Khwang, Bangkok",,Full time,On-site,2025-05-13,https://th.jobsdb.com/job/84188146,TH,jobsdbth,,,,,data analyst visualization base g tower rama9,,Data & Analytics
Data Scientist (Customer Data Management) - Cement Business,The Siam Cement,"Bang Sue, Bangkok",,Full time,On-site,2025-04-30,https://th.jobsdb.com/job/83902866,TH,jobsdbth,,,,,data scientist customer data management - cement business,,Data & Analytics
Project Manager,Aigen,"Huai Khwang, Bangkok",,Full time,On-site,2025-05-26,https://th.jobsdb.com/job/84420912,TH,jobsdbth,,,,,project manager,Manager,Project & Product Management
Business Analyst (Government Services),Chan Wanich,"Bang Rak, Bangkok","฿65,000 – ฿95,000 per month",Full time,On-site,2025-05-06,https://th.jobsdb.com/job/81414559,TH,jobsdbth,80000,65000,95000,THB,business analyst government services,,Data & Analytics
Software Developer (Web/Mobile/Back-End/Full Stack),Playtorium,"Phaya Thai, Bangkok",,Full time,Hybrid,2025-05-06,https://th.jobsdb.com/job/84017537,TH,jobsdbth,,,,,software developer web/mobile/back-end/full stack,,Software/Web Development
Business Analyst (Planning & Buget Team),Bangkok Bank,Bangkok,,Full time,On-site,2025-04-29,https://th.jobsdb.com/job/83879439,TH,jobsdbth,,,,,business analyst planning buget team,,Data & Analytics
Test Engineer (Manual / Automated),"Arise By Infinitas Co., Ltd.",Bangkok,,Full time,Hybrid,2025-05-09,https://th.jobsdb.com/job/81291304,TH,jobsdbth,,,,,test engineer manual / automated,,Quality Assurance & Testing
Business Analyst,"Arise By Infinitas Co., Ltd.",Bangkok,,Full time,Hybrid,2025-05-06,https://th.jobsdb.com/job/81182156,TH,jobsdbth,,,,,business analyst,,Data & Analytics
Business Analyst (รับน้องจบใหม่),Bangkok Bank,Bangkok,,Full time,On-site,2025-05-02,https://th.jobsdb.com/job/83963638,TH,jobsdbth,,,,,business analyst รบนองจบใหม,,Data & Analytics
Project Manager/Project Management Officer/Project Admin,"H Lab Co., Ltd.","Pathum Wan, Bangkok",,Contract/Temp,Hybrid,2025-05-26,https://th.jobsdb.com/job/84475748,TH,jobsdbth,,,,,project manager/project management officer/project admin,Manager,Project & Product Management
AIS Digital Talent: The Masters (Management Trainee Program),Advanced Info Service,Bangkok,,Full time,On-site,2025-04-29,https://th.jobsdb.com/job/83888429,TH,jobsdbth,,,,,ais digital talent masters management trainee program,,Other
Business Analyst,"Krungthai Computer Services Co., Ltd.","Phaya Thai, Bangkok",,Full time,On-site,2025-05-26,https://th.jobsdb.com/job/84482046,TH,jobsdbth,,,,,business analyst,,Data & Analytics
Data Analytics and Data Science,Bangchak,"Phra Khanong, Bangkok",,Full time,On-site,2025-05-23,https://th.jobsdb.com/job/84438254,TH,jobsdbth,,,,,data analytics data science,,Data & Analytics
NextGen Digital Partners (Tech Partner Program 2025),Nestle,"Pathum Wan, Bangkok",,Full time,Hybrid,2025-05-07,https://th.jobsdb.com/job/84049131,TH,jobsdbth,,,,,nextgen digital partners tech partner program 2025,,Other
Application Support and Development Associate,PwC,"Sathon, Bangkok",,Full time,Hybrid,2025-05-21,https://th.jobsdb.com/job/83684216,TH,jobsdbth,,,,,application support development associate,,Other
Application Support Officer,Aot Ground Aviation Services Company Limited,"Don Mueang, Bangkok",,Full time,Hybrid,2025-05-15,https://th.jobsdb.com/job/84247454,TH,jobsdbth,,,,,application support officer,,Other
Business Analyst (Contract),PTT Digital,"Chatuchak, Bangkok",,Full time,On-site,2025-05-15,https://th.jobsdb.com/job/84236666,TH,jobsdbth,,,,,business analyst,,Data & Analytics
Assistant General Manager (Head of IT Infrastructure),Regional Container Lines,"Yan Nawa, Bangkok",,Full time,Hybrid,2025-05-23,https://th.jobsdb.com/job/84438356,TH,jobsdbth,,,,,assistant general manager head it infrastructure,Manager,Infra & System
Assistant Big Data Analytics Manager (Marketing Analyst),Lion Corporation,"Yan Nawa, Bangkok",,Full time,On-site,2025-05-16,https://th.jobsdb.com/job/84262476,TH,jobsdbth,,,,,assistant big data analytics manager marketing analyst,Manager,Data & Analytics
Software Developer (New graduate are welcome),Mizuhada Group,Bangkok,,Full time,On-site,2025-05-20,https://th.jobsdb.com/job/84334997,TH,jobsdbth,,,,,software developer new graduate welcome,,Software/Web Development
Project Manager/ Assistant Project Manager – Workplace & Corporate Office,Savills,Bangkok,,Full time,On-site,2025-05-19,https://th.jobsdb.com/job/84307088,TH,jobsdbth,,,,,project manager/ assistant project manager workplace corporate office,Manager,Project & Product Management
Business Data Analyst,Plus 1 Company Limited,Bangkok,"฿40,000 – ฿60,000 per month",Full time,Hybrid,2025-05-19,https://th.jobsdb.com/job/84318331,TH,jobsdbth,50000,40000,60000,THB,business data analyst,,Data & Analytics
Software Engineer (New Graduation 2025),Toyota Tsusho Nexty Electronics,"Pathum Wan, Bangkok",,Full time,Hybrid,2025-05-26,https://th.jobsdb.com/job/84469364,TH,jobsdbth,,,,,software engineer new graduation 2025,,Software/Web Development
Process Improvement,Kasikorn Leasing,Bangkok Metropolitan Region,,Full time,Hybrid,2025-05-26,https://th.jobsdb.com/job/84475542,TH,jobsdbth,,,,,process improvement,,Other
"Business Analyst (Experience BA Bank, Government, Insurance)",Avalant,"Sathon, Bangkok","฿40,000 – ฿60,000 per month",Full time,On-site,2025-05-26,https://th.jobsdb.com/job/84470879,TH,jobsdbth,50000,40000,60000,THB,business analyst experience ba bank government insurance,,Data & Analytics
Data Analyst,Ascend Group,Bangkok,"฿40,000 – ฿55,000 per month",Full time,Hybrid,2025-05-20,https://th.jobsdb.com/job/84338449,TH,jobsdbth,47500,40000,55000,THB,data analyst,,Data & Analytics
Project Management Officer (IT)/เจ้าหน้าที่บริหารโครงการเทคโนโลยีสารสนเทศ (IT),Bangkok Life Assurance,"Bang Sue, Bangkok",,Full time,On-site,2025-05-20,https://th.jobsdb.com/job/84182226,TH,jobsdbth,,,,,project management officer it/เจาหนาทบรหารโครงการเทคโนโลยสารสนเทศ it,,Project & Product Management
Service Desk Support / IT Support / Client Services,ThaiBev,"Chatuchak, Bangkok",,Full time,On-site,2025-05-23,https://th.jobsdb.com/job/84424612,TH,jobsdbth,,,,,service desk support / it support / client services,,Infra & System
IT Manager (Infrastructure),"Rever Automotive Co., Ltd.","Pathum Wan, Bangkok",,Full time,Hybrid,2025-05-20,https://th.jobsdb.com/job/84352511,TH,jobsdbth,,,,,it manager infrastructure,Manager,Infra & System
Computer Operation Officer,"Krungthai Computer Services Co., Ltd.","Bang Sue, Bangkok",,Full time,On-site,2025-05-26,https://th.jobsdb.com/job/84478678,TH,jobsdbth,,,,,computer operation officer,,Other
BI & IT Director,Srichand United Dispensary,"Suan Luang, Bangkok",,Full time,On-site,2025-05-26,https://th.jobsdb.com/job/84474377,TH,jobsdbth,,,,,bi it director,,Data & Analytics
Product Management-IT Solutions,The Stock Exchange of Thailand,Bangkok,,Full time,Hybrid,2025-05-21,https://th.jobsdb.com/job/84374641,TH,jobsdbth,,,,,product management-it solutions,,Project & Product Management
Software Test Engineer (Fresh graduates welcome / Junior / Senior),Flowaccount,"Bang Rak, Bangkok","฿40,000 – ฿60,000 per month",Full time,On-site,2025-05-22,https://th.jobsdb.com/job/84400541,TH,jobsdbth,50000,40000,60000,THB,software test engineer fresh graduates welcome / junior / senior,Junior,Quality Assurance & Testing
