title,category,company,location,country,min_salary,max_salary,avg_salary,currency,job_type,work_arrangement,level,date_posted,job_link,source
IT Technician (Quantum Leap Company),,"Myanmar Distribution Group Co., Ltd. (MDG)",Yangon,MM,,,,,,,,2025-05-24,https://www.jobnet.com.mm/job/it-technician-quantum-leap-company-myanmar-distribution-group-co-ltd-mdg/114717,jobnetmm
ELV Engineer,,"Myanmar Golden Rock International Co.,Ltd",Yangon,MM,,,,,,,,2025-05-24,https://www.jobnet.com.mm/job/elv-engineer-myanmar-golden-rock-international-co-ltd/114710,jobnetmm
IT Business Analyst,,JobNet Corporate (Sales),Yangon,MM,,,,,,,,2025-05-23,https://www.jobnet.com.mm/job/it-business-analyst-jobnet-corporate-sales/114695,jobnetmm
Senior Technical Project Manager,,Myanmar Citizens Bank (MCB),Yangon,MM,,,,,,,,2025-05-23,https://www.jobnet.com.mm/job/senior-technical-project-manager-myanmar-citizens-bank-mcb/114657,jobnetmm
Infrastructure Support Engineer,,"Myanmar CP Livestock Co.,Ltd",Yangon,MM,,,,,,,,2025-05-22,https://www.jobnet.com.mm/job/infrastructure-support-engineer-myanmar-cp-livestock-co-ltd/113334,jobnetmm
Senior Software Engineer ( Functional Support),,"Ace Data Systems Co.,Ltd",Yangon,MM,,,,,,,,2025-05-22,https://www.jobnet.com.mm/job/senior-software-engineer-functional-support-ace-data-systems-co-ltd/112348,jobnetmm
Odoo Developer (Senior/Mid Level),,Innovix Solutions,Yangon,MM,,,,,,,,2025-05-22,https://www.jobnet.com.mm/job/odoo-developer-senior-mid-level-innovix-solutions/113302,jobnetmm
Core Banking System & Database Administrator,,SATHAPANA Limited Myanmar,Yangon,MM,,,,,,,,2025-05-22,https://www.jobnet.com.mm/job/core-banking-system-and-database-administrator-sathapana-limited-myanmar/114617,jobnetmm
In-House Software &Report Development Unit Officer,,SATHAPANA Limited Myanmar,Yangon,MM,,,,,,,,2025-05-21,https://www.jobnet.com.mm/job/in-house-software-andreport-development-unit-officer-sathapana-limited-myanmar/114597,jobnetmm
Trainee Engineer,,,Yangon,MM,,,,,,,,2025-05-21,https://www.jobnet.com.mm/job/trainee-engineer-leading-company/114576,jobnetmm
System Engineer,,"Nice Myanmar Travels & Tours Co.,Ltd",Yangon,MM,,,,,,,,2025-05-21,https://www.jobnet.com.mm/job/system-engineer-nice-myanmar-travels-and-tours-co-ltd/114574,jobnetmm
Senior Java Developer,,Wave Money,Yangon,MM,,,,,,,,2025-05-21,https://www.jobnet.com.mm/job/senior-java-developer-wave-money/106259,jobnetmm
Mid-Level Software Engineer (AI Video Generation),,X inc,International,MM,,,,,,,,2025-05-21,https://www.jobnet.com.mm/job/mid-level-software-engineer-ai-video-generation-x-inc/114542,jobnetmm
Assistant Supervisor (System Engineer),,CHID Bank,Yangon,MM,,,,,,,,2025-05-20,https://www.jobnet.com.mm/job/assistant-supervisor-system-engineer-chid-bank/114540,jobnetmm
Senior Information Security Manager,,Wave Money,Yangon,MM,,,,,,,,2025-05-20,https://www.jobnet.com.mm/job/senior-information-security-manager-wave-money/112294,jobnetmm
Senior IT Technician,,"WOW SPORTS & CULTURAL DEVELOPMENT CO.,LTD",Yangon,MM,,,,,,,,2025-05-20,https://www.jobnet.com.mm/job/senior-it-technician-wow-sports-and-cultural-development-co-ltd/114504,jobnetmm
Associate Security Engineer,,CB Bank,Yangon,MM,,,,,,,,2025-05-20,https://www.jobnet.com.mm/job/associate-security-engineer-cb-bank/111506,jobnetmm
"Senior Analyst, Infrastructure & EUS",,AIA Myanmar,Yangon,MM,,,,,,,,2025-05-20,https://www.jobnet.com.mm/job/senior-analyst-infrastructure-and-eus-aia-myanmar/111341,jobnetmm
"Sr. Manager, New Stream & Advance Analytics",,ATOM,Yangon,MM,,,,,,,,2025-05-20,https://www.jobnet.com.mm/job/sr-manager-new-stream-and-advance-analytics-atom/114488,jobnetmm
JAVA DEVELOPER,,"Tara Aung Co.,Ltd",Yangon,MM,,,,,,,,2025-05-19,https://www.jobnet.com.mm/job/java-developer-tara-aung-co-ltd/114482,jobnetmm
Senior Odoo Developer,,"Green IT Co.,Ltd",Yangon,MM,,,,,,,,2025-05-19,https://www.jobnet.com.mm/job/senior-odoo-developer-green-it-co-ltd/114160,jobnetmm
Senior IT Engineer (IT Infrastructure),,"Myanmar Payment Union Public Co.,Ltd",Yangon,MM,,,,,,,,2025-05-16,https://www.jobnet.com.mm/job/senior-it-engineer-it-infrastructure-myanmar-payment-union-public-co-ltd/114379,jobnetmm
"Senior IT Engineer (Switch, Ecommerce)",,"Myanmar Payment Union Public Co.,Ltd",Yangon,MM,,,,,,,,2025-05-16,https://www.jobnet.com.mm/job/senior-it-engineer-switch-ecommerce-myanmar-payment-union-public-co-ltd/114377,jobnetmm
Computer Color Machine Maintenance,,"Nippon Paint (Myanmar) Co.,Ltd",Yangon,MM,,,,,,,,2025-05-16,https://www.jobnet.com.mm/job/computer-color-machine-maintenance-nippon-paint-myanmar-co-ltd/113755,jobnetmm
Software Developer,,Talent Experts,Yangon,MM,,,,,,,,2025-05-16,https://www.jobnet.com.mm/job/software-developer-talent-experts/114355,jobnetmm
Senior Developer,,Systematic Business Solution,Yangon,MM,,,,,,,,2025-05-16,https://www.jobnet.com.mm/job/senior-developer-systematic-business-solution/114009,jobnetmm
Software Project Manager,,Innovix Solutions,Yangon,MM,,,,,,,,2025-05-16,https://www.jobnet.com.mm/job/software-project-manager-innovix-solutions/114340,jobnetmm
Senior (Software/System) Business Analyst,,Innovix Solutions,Yangon,MM,,,,,,,,2025-05-16,https://www.jobnet.com.mm/job/senior-software-system-business-analyst-innovix-solutions/114339,jobnetmm
Manager (IT - Core & Digital Banking),,CHID Bank,Yangon,MM,,,,,,,,2025-05-16,https://www.jobnet.com.mm/job/manager-it-core-and-digital-banking-chid-bank/114338,jobnetmm
Senior Data Scientist,,UTW (Myanmar) Limited,Yangon,MM,,,,,,,,2025-05-15,https://www.jobnet.com.mm/job/senior-data-scientist-utw-myanmar-limited/113779,jobnetmm
IT Specialist,,"Myat Myittar Mon Co.,Ltd",Yangon,MM,,,,,,,,2025-05-15,https://www.jobnet.com.mm/job/it-specialist-myat-myittar-mon-co-ltd/114299,jobnetmm
Senior IT Officer (MFI),,Capital Diamond Star Group (CDSG),Yangon,MM,,,,,,,,2025-05-14,https://www.jobnet.com.mm/job/senior-it-officer-mfi-capital-diamond-star-group-cdsg/114257,jobnetmm
ERP SAP O & M Support (A1 - FI),,MPT - Myanma Posts & Telecommunications,Yangon,MM,,,,,,,,2025-05-14,https://www.jobnet.com.mm/job/erp-sap-o-and-m-support-a1-fi-mpt-myanma-posts-and-telecommunications/114255,jobnetmm
Assistant IT Manager,,YKKO,Yangon,MM,,,,,,,,2025-05-14,https://www.jobnet.com.mm/job/assistant-it-manager-ykko/114248,jobnetmm
Site Reliability Engineer (L1),,Wave Money,Yangon,MM,,,,,,,,2025-05-13,https://www.jobnet.com.mm/job/site-reliability-engineer-l1-wave-money/114242,jobnetmm
IT Supervior (MD Office),,"Focus Star Co.,Ltd",Yangon,MM,,,,,,,,2025-05-13,https://www.jobnet.com.mm/job/it-supervior-md-office-focus-star-co-ltd/113464,jobnetmm
Information Security Engineer,,POSCO Int'l Corporation(Myanmar E&P Office),Yangon,MM,,,,,,,,2025-05-13,https://www.jobnet.com.mm/job/information-security-engineer-posco-intl-corporationmyanmar-eandp-office/114203,jobnetmm
Associate/ Junior Product Owner,,Capital Diamond Star Group (CDSG),Yangon,MM,,,,,,,,2025-05-13,https://www.jobnet.com.mm/job/associate-junior-product-owner-capital-diamond-star-group-cdsg/114197,jobnetmm
IT Network Officer,,Win Brothers Group of Companies Limited,Yangon,MM,,,,,,,,2025-05-12,https://www.jobnet.com.mm/job/it-network-officer-win-brothers-group-of-companies-limited/114144,jobnetmm
"Manager, Enterprise Security Architect",,ATOM,Yangon,MM,,,,,,,,2025-05-12,https://www.jobnet.com.mm/job/manager-enterprise-security-architect-atom/114131,jobnetmm
Business Development Executive,,Talent Experts,Yangon,MM,,,,,,,,2025-05-12,https://www.jobnet.com.mm/job/business-development-executive-talent-experts/114128,jobnetmm
IT Technician,,PUMA POWER INTERNATIONAL COMPANY LIMITED,Mon State,MM,,,,,,,,2025-05-11,https://www.jobnet.com.mm/job/it-technician-puma-power-international-company-limited/114126,jobnetmm
Junior UAT Tester,,KBZ Bank,Yangon,MM,,,,,,,,2025-05-09,https://www.jobnet.com.mm/job/junior-uat-tester-kbz-bank/114099,jobnetmm
Product Manager (Fintech),,"NearMe Co.,Ltd",Yangon,MM,,,,,,,,2025-05-09,https://www.jobnet.com.mm/job/product-manager-fintech-nearme-co-ltd/108125,jobnetmm
Flutter Developer,,Myanmar Information Technology Pte. Ltd. (MIT),Yangon,MM,,,,,,,,2025-05-09,https://www.jobnet.com.mm/job/flutter-developer-myanmar-information-technology-pte-ltd-mit/114075,jobnetmm
Assistant Manager (Core-Banking Team),,SATHAPANA Limited Myanmar,Yangon,MM,,,,,,,,2025-05-09,https://www.jobnet.com.mm/job/assistant-manager-core-banking-team-sathapana-limited-myanmar/114071,jobnetmm
"Senior Manager, Head Of Access Transport",,ATOM,Yangon,MM,,,,,,,,2025-05-08,https://www.jobnet.com.mm/job/senior-manager-head-of-access-transport-atom/114044,jobnetmm
"Senior Manager, IT Infrastructure & Security",,ATOM,Yangon,MM,,,,,,,,2025-05-08,https://www.jobnet.com.mm/job/senior-manager-it-infrastructure-and-security-atom/114043,jobnetmm
"IT Executive ( System Maintenance, Support)",,"Mo Mo Ventures Finance Co.,Ltd",Yangon,MM,,,,,,,,2025-05-08,https://www.jobnet.com.mm/job/it-executive-system-maintenance-support-mo-mo-ventures-finance-co-ltd/109409,jobnetmm
Java Developer (Senior Level),,CB Bank,Yangon,MM,,,,,,,,2025-05-07,https://www.jobnet.com.mm/job/java-developer-senior-level-cb-bank/113985,jobnetmm
Senior Software Developer (Java Script),,"AGB Communication Co.,Ltd",Yangon,MM,,,,,,,,2025-05-07,https://www.jobnet.com.mm/job/senior-software-developer-java-script-agb-communication-co-ltd/113984,jobnetmm
Application Support Officer,,Yoma Bank,Yangon,MM,,,,,,,,2025-05-07,https://www.jobnet.com.mm/job/application-support-officer-yoma-bank/113965,jobnetmm
System Engineer/ IT Technician,,SHWE TAUNG GROUP,Yangon,MM,,,,,,,,2025-05-07,https://www.jobnet.com.mm/job/system-engineer-it-technician-shwe-taung-group/113964,jobnetmm
IT Infra Engineer,,Dai-ichi Life Insurance Myanmar Ltd.,Yangon,MM,,,,,,,,2025-05-07,https://www.jobnet.com.mm/job/it-infra-engineer-dai-ichi-life-insurance-myanmar-ltd/113960,jobnetmm
Corporate Senior SAP Technical Executive,,PME & AG Holding,Yangon,MM,,,,,,,,2025-05-07,https://www.jobnet.com.mm/job/corporate-senior-sap-technical-executive-pme-and-ag-holding/108939,jobnetmm
Senior Mobile Developer,,"A2000 Myanmar Co., Ltd",Yangon,MM,,,,,,,,2025-05-05,https://www.jobnet.com.mm/job/senior-mobile-developer-a2000-myanmar-co-ltd/113856,jobnetmm
IT Technical Support Engineer,,"Myanmar Golden Rock International Co.,Ltd",Yangon,MM,,,,,,,,2025-05-05,https://www.jobnet.com.mm/job/it-technical-support-engineer-myanmar-golden-rock-international-co-ltd/111550,jobnetmm
"Assistant Manager, Information System",,Carlsberg Myanmar,Yangon,MM,,,,,,,,2025-05-05,https://www.jobnet.com.mm/job/assistant-manager-information-system-carlsberg-myanmar/113838,jobnetmm
Senior IT Associate (CRM),,Sea Lion CLL Holdings,Yangon,MM,,,,,,,,2025-05-05,https://www.jobnet.com.mm/job/senior-it-associate-crm-sea-lion-cll-holdings/113150,jobnetmm
