title,company,location,salary,job_type,work_arrangement,date_posted,job_link,country,source
System Engineer (System Analyst),"Horizon Telecom International Co.,Ltd",Yangon,Negotiable,,,27 May 2025,https://www.jobnet.com.mm/job/system-engineer-horizon-telecom-international-co-ltd/114876,MM,jobnetmm
Website Manager (UI UX Designer ),Banner Gems and Jewellery,Yangon,"Up to 1,000,000 Ks",,,27 May 2025,https://www.jobnet.com.mm/job/website-manager-banner-gems-and-jewellery/114875,MM,jobnetmm
IT/NT Senior Engineer (IT Security Manager),Ooredoo Myanmar,Yangon,Negotiable,,,27 May 2025,https://www.jobnet.com.mm/job/it-nt-senior-engineer-ooredoo-myanmar/114869,MM,jobnetmm
Senior Odoo Developer (Software Developer),"Green IT Co.,Ltd",Yangon,Negotiable,,,27 May 2025,https://www.jobnet.com.mm/job/senior-odoo-developer-green-it-co-ltd/114160,MM,jobnetmm
Data Analyst,Yoma Bank,Yangon,Negotiable,,,27 May 2025,https://www.jobnet.com.mm/job/data-analyst-yoma-bank/114854,MM,jobnetmm
Automation Manager (IT Project Manager),Ooredoo Myanmar,Yangon,Negotiable,,,27 May 2025,https://www.jobnet.com.mm/job/automation-manager-ooredoo-myanmar/114853,MM,jobnetmm
Computer Service Technician (IT Support),KBZ Bank,Yangon,Negotiable,,,27 May 2025,https://www.jobnet.com.mm/job/computer-service-technician-kbz-bank/114840,MM,jobnetmm
Channel Activation Manager (IT Support),KBZ Bank,Yangon,Negotiable,,,27 May 2025,https://www.jobnet.com.mm/job/channel-activation-manager-kbz-bank/114833,MM,jobnetmm
Full Stack Software Engineer (Software Developer),KBZ Bank,Yangon,Negotiable,,,27 May 2025,https://www.jobnet.com.mm/job/full-stack-software-engineer-kbz-bank/114831,MM,jobnetmm
Business Analyst,KBZ Bank,Yangon,Negotiable,,,27 May 2025,https://www.jobnet.com.mm/job/business-analyst-kbz-bank/114829,MM,jobnetmm
ATM Security Officer (IT Security Manager),KBZ Bank,Yangon,Negotiable,,,27 May 2025,https://www.jobnet.com.mm/job/atm-security-officer-kbz-bank/114826,MM,jobnetmm
"Manager, Enterprise Security Architect",ATOM,Yangon,Negotiable,,,27 May 2025,https://www.jobnet.com.mm/job/manager-enterprise-security-architect-atom/114131,MM,jobnetmm
