title,category,company,location,country,min_salary,max_salary,avg_salary,currency,job_type,work_arrangement,level,date_posted,job_link,source
System Engineer (System Analyst),Infra & System,"Horizon Telecom International Co.,Ltd",Yangon,MM,,Negotiable,,,,,,2025-05-27,https://www.jobnet.com.mm/job/system-engineer-horizon-telecom-international-co-ltd/114876,jobnetmm
Website Manager (UI UX Designer ),Software/Web Development,Banner Gems and Jewellery,Yangon,MM,,1000000,1000000,Ks,,,Manager,2025-05-27,https://www.jobnet.com.mm/job/website-manager-banner-gems-and-jewellery/114875,jobnetmm
IT/NT Senior Engineer (IT Security Manager),Cybersecurity,Ooredoo Myanmar,Yangon,MM,,Negotiable,,,,,Senior,2025-05-27,https://www.jobnet.com.mm/job/it-nt-senior-engineer-ooredoo-myanmar/114869,jobnetmm
Senior Odoo Developer (Software Developer),Software/Web Development,"Green IT Co.,Ltd",Yangon,MM,,Negotiable,,,,,Senior,2025-05-27,https://www.jobnet.com.mm/job/senior-odoo-developer-green-it-co-ltd/114160,jobnetmm
Data Analyst,Data & Analytics,Yoma Bank,Yangon,MM,,Negotiable,,,,,,2025-05-27,https://www.jobnet.com.mm/job/data-analyst-yoma-bank/114854,jobnetmm
Automation Manager (IT Project Manager),Project & Product Management,Ooredoo Myanmar,Yangon,MM,,Negotiable,,,,,Manager,2025-05-27,https://www.jobnet.com.mm/job/automation-manager-ooredoo-myanmar/114853,jobnetmm
Computer Service Technician (IT Support),Infra & System,KBZ Bank,Yangon,MM,,Negotiable,,,,,,2025-05-27,https://www.jobnet.com.mm/job/computer-service-technician-kbz-bank/114840,jobnetmm
Channel Activation Manager (IT Support),Infra & System,KBZ Bank,Yangon,MM,,Negotiable,,,,,Manager,2025-05-27,https://www.jobnet.com.mm/job/channel-activation-manager-kbz-bank/114833,jobnetmm
Full Stack Software Engineer (Software Developer),Software/Web Development,KBZ Bank,Yangon,MM,,Negotiable,,,,,,2025-05-27,https://www.jobnet.com.mm/job/full-stack-software-engineer-kbz-bank/114831,jobnetmm
Business Analyst,Data & Analytics,KBZ Bank,Yangon,MM,,Negotiable,,,,,,2025-05-27,https://www.jobnet.com.mm/job/business-analyst-kbz-bank/114829,jobnetmm
ATM Security Officer (IT Security Manager),Cybersecurity,KBZ Bank,Yangon,MM,,Negotiable,,,,,Manager,2025-05-27,https://www.jobnet.com.mm/job/atm-security-officer-kbz-bank/114826,jobnetmm
"Manager, Enterprise Security Architect",Cybersecurity,ATOM,Yangon,MM,,Negotiable,,,,,Manager,2025-05-27,https://www.jobnet.com.mm/job/manager-enterprise-security-architect-atom/114131,jobnetmm
System Engineer (System Analyst),Infra & System,GRAND GUARDIAN NIPPON LIFE INSURANCE,Yangon,MM,,Negotiable,,,,,,2025-05-27,https://www.jobnet.com.mm/job/system-engineer-grand-guardian-nippon-life-insurance/114817,jobnetmm
Application Support Engineer (IT Support),Infra & System,GRAND GUARDIAN NIPPON LIFE INSURANCE,Yangon,MM,,Negotiable,,,,,,2025-05-27,https://www.jobnet.com.mm/job/application-support-engineer-grand-guardian-nippon-life-insurance/114816,jobnetmm
IT Assistant / Junior (IT Support),Infra & System,,Yangon,MM,,430000,430000,Ks,,,Junior,2025-05-26,https://www.jobnet.com.mm/job/it-assistant-junior/114792,jobnetmm
In-House Software & Report Development Unitmanager (Data Analyst),Data & Analytics,SATHAPANA Limited Myanmar,Yangon,MM,,Negotiable,,,,,Manager,2025-05-26,https://www.jobnet.com.mm/job/in-house-software-and-report-development-unitmanager-sathapana-limited-myanmar/114781,jobnetmm
