title,category,company,location,country,min_salary,max_salary,avg_salary,currency,job_type,work_arrangement,level,date_posted,job_link,source
Software Developer - Oxford Knight,Software-Developer,Full time,Singapore,SG,,,,SGD,Full time,N/A,,2025-05-13,https://sg.jobsdb.com/job/Software-Developer-b9ce0d7b6a30ca35e3e528366608f470?abstract_type=original&disallow=true&fsv=true&sl=&sol_key=7abd3a15f7cd070c23225a69756f9eb0&sp=sserp_top&sponsored=true&sq=Software+Developer&sr=1&tk=sJzBt9Om7GwfJ5yGmuJu-CnWWgoNsyiBZEotQg_j1&trigger_source=serp,jobsdbsg
Quant Developer - Oxford Knight,Software-Developer,Full time,Singapore,SG,,,,SGD,Full time,N/A,,2025-05-13,https://sg.jobsdb.com/job/Quant-Developer-Oxford-97e66d864f277a39e005392382bae05c?abstract_type=original&disallow=true&fsv=true&sl=&sol_key=1910ad9655530b50b70de203dec08622&sp=sserp_top&sponsored=true&sq=Software+Developer&sr=2&tk=sJzBt9Om7GwfJ5yGmuJu-CnWWgoNsyiBZEotQg_j1&trigger_source=serp,jobsdbsg
Software Developer (Cloud Based Risk Management,Software-Developer,N/A,Singapore,SG,,,,SGD,N/A,N/A,,2025-05-27,https://sg.jobsdb.com/job/Software-Developer-a5eaef76885a15ad1838d6c001774a39?abstract_type=original&disallow=true&fsv=true&sl=&sol_key=b600ca2e66c4b3777de7641745164530&sp=serp&sponsored=false&sq=Software+Developer&sr=1&tk=sJzBt9Om7GwfJ5yGmuJu-CnWWgoNsyiBZEotQg_j1&trigger_source=serp,jobsdbsg
Software Engineer - Fullstack Developer !!!!!urgent,Software-Developer,N/A,Singapore,SG,,,,SGD,N/A,N/A,,2025-05-27,https://sg.jobsdb.com/job/Software-Engineer-2edf45b33683b8cfaa2122cfc2fabd34?abstract_type=original&disallow=true&fsv=true&sl=&sol_key=9c161af4c0129a785d9922383dfacf8b&sp=serp&sponsored=false&sq=Software+Developer&sr=2&tk=sJzBt9Om7GwfJ5yGmuJu-CnWWgoNsyiBZEotQg_j1&trigger_source=serp,jobsdbsg
Software Developer,Software-Developer,N/A,Singapore,SG,,,,SGD,N/A,N/A,,2025-05-27,https://sg.jobsdb.com/job/Software-Developer-fc3132a28f5372cf89c15760e9ed3361?abstract_type=original&disallow=true&fsv=true&sl=&sol_key=80491de5be4c063367ff993bffd9a7f9&sp=serp&sponsored=false&sq=Software+Developer&sr=3&tk=sJzBt9Om7GwfJ5yGmuJu-CnWWgoNsyiBZEotQg_j1&trigger_source=serp,jobsdbsg
Skilled Software Developer - Identity and Access Management,Software-Developer,Full time,Singapore,SG,,,,SGD,Full time,N/A,,2025-05-24,https://sg.jobsdb.com/job/Software-Developer-5448418627a5aa3002c0043289c8c038?abstract_type=original&disallow=true&fsv=true&sl=&sol_key=fd48edd71e1bcbb92d4bdafadb768b98&sp=serp&sponsored=false&sq=Software+Developer&sr=4&tk=sJzBt9Om7GwfJ5yGmuJu-CnWWgoNsyiBZEotQg_j1&trigger_source=serp,jobsdbsg
Software Developer,Software-Developer,Permanent,Singapore,SG,4602,4602,4602,SGD,Permanent,Hybrid,,2025-05-27,https://sg.jobsdb.com/job/Software-Developer-5fb8c7f41d40b3b7019897066ade7fc1?abstract_type=original&disallow=true&fsv=true&sl=&sol_key=623c1f1ae0975653f1cc04988a02068d&sp=serp&sponsored=false&sq=Software+Developer&sr=5&tk=sJzBt9Om7GwfJ5yGmuJu-CnWWgoNsyiBZEotQg_j1&trigger_source=serp,jobsdbsg
Software Developer (Java),Software-Developer,N/A,Singapore,SG,,,,SGD,N/A,N/A,,2025-05-27,https://sg.jobsdb.com/job/Software-Developer-Java-dd712df10a3bb1d24d28bc43905b40f8?abstract_type=original&disallow=true&fsv=true&sl=&sol_key=8a12531c5fdf18620910290f0057fff9&sp=serp&sponsored=false&sq=Software+Developer&sr=6&tk=sJzBt9Om7GwfJ5yGmuJu-CnWWgoNsyiBZEotQg_j1&trigger_source=serp,jobsdbsg
"Software Developer (Technical Operations), Nscc",Software-Developer,Permanent,Singapore,SG,,,,SGD,Permanent,N/A,,2025-05-27,https://sg.jobsdb.com/job/Software-Developer-9008c8157273eaa13957adcaec0763b9?abstract_type=original&disallow=true&fsv=true&sl=&sol_key=e49cc57b03f91e67be35c566268d9fb0&sp=serp&sponsored=false&sq=Software+Developer&sr=7&tk=sJzBt9Om7GwfJ5yGmuJu-CnWWgoNsyiBZEotQg_j1&trigger_source=serp,jobsdbsg
Software Developer,Software-Developer,Full time,Outram,SG,5500,5500,5500,SGD,Full time,N/A,,2025-05-23,https://sg.jobsdb.com/job/Software-Developer-64b41e77372d4834fc1958333f9770dc?abstract_type=original&disallow=true&fsv=true&sl=&sol_key=672d3422e984c15ab43f8670cd441c4d&sp=serp&sponsored=false&sq=Software+Developer&sr=8&tk=sJzBt9Om7GwfJ5yGmuJu-CnWWgoNsyiBZEotQg_j1&trigger_source=serp,jobsdbsg
Iot Software Developer,Software-Developer,N/A,Jurong East,SG,,,,SGD,N/A,Hybrid,,2025-05-27,https://sg.jobsdb.com/job/Software-Developer-def7f6ad306f2b0dc2d6a74b84e73551?abstract_type=original&disallow=true&fsv=true&sl=&sol_key=b4c7389ae17a047cea8989d4ab1a1a8e&sp=serp&sponsored=false&sq=Software+Developer&sr=9&tk=sJzBt9Om7GwfJ5yGmuJu-CnWWgoNsyiBZEotQg_j1&trigger_source=serp,jobsdbsg
"Senior Software Engineer, Developer Experience",Software-Developer,Full time,Singapore,SG,,,,SGD,Full time,N/A,Senior,2025-05-26,https://sg.jobsdb.com/job/Software-Engineer-21cdd7e2114cb16a765b74ea11f5f3be?abstract_type=original&disallow=true&fsv=true&sl=&sol_key=3aa6c7b671d4b5bf005f64c0bfb7830e&sp=serp&sponsored=false&sq=Software+Developer&sr=10&tk=sJzBt9Om7GwfJ5yGmuJu-CnWWgoNsyiBZEotQg_j1&trigger_source=serp,jobsdbsg
Associate Fullstack Developer,Software-Developer,Full time,Singapore,SG,,,,SGD,Full time,N/A,,2025-05-23,https://sg.jobsdb.com/job/Associate-Fullstack-Developer-cc3049da65367625185c64fc0c3dabdd?abstract_type=original&disallow=true&fsv=true&sl=&sol_key=4d281c33b03f8ceeadd67a2cea474b5d&sp=sserp_bottom&sponsored=true&sq=Software+Developer&sr=3&tk=sJzBt9Om7GwfJ5yGmuJu-CnWWgoNsyiBZEotQg_j1&trigger_source=serp,jobsdbsg
