title,category,company,location,country,min_salary,max_salary,avg_salary,currency,job_type,work_arrangement,level,date_posted,job_link,source
Sustainability Project Management & Integration Manager/Officer,Project & Product Management,Siam Commercial Bank,Bangkok,TH,,,,,Full time,Hybrid,Manager,2025-05-21,https://th.jobsdb.com/job/82266970,jobsdbth
Project Coordinator,Project & Product Management,Mizuhada Group,"Sathon, Bangkok",TH,,,,,Full time,On-site,,2025-05-20,https://th.jobsdb.com/job/84334883,jobsdbth
Project Manager & Business Analyst (PM/BA),Project & Product Management,Digio (Thailand),"Huai Khwang, Bangkok",TH,,,,,Full time,On-site,Manager,2025-05-08,https://th.jobsdb.com/job/84091011,jobsdbth
IT Project Manager,Project & Product Management,"SCB Tech X Co., Ltd.",Bangkok,TH,,,,,Full time,Hybrid,Manager,2025-05-06,https://th.jobsdb.com/job/81286277,jobsdbth
Product Owner,Project & Product Management,"Arise By Infinitas Co., Ltd.",Bangkok,TH,,,,,Full time,Hybrid,,2025-05-16,https://th.jobsdb.com/job/81418407,jobsdbth
Business Analyst / System Analyst,Data & Analytics,MFEC,"Chatuchak, Bangkok",TH,,,,,Full time,On-site,,2025-05-06,https://th.jobsdb.com/job/84018698,jobsdbth
(Junior Level) Programmer/Backend (ยินดีรับน้องจบใหม่),Software/Web Development,Bangkok Bank,Bangkok,TH,,,,,Full time,On-site,Junior,2025-05-02,https://th.jobsdb.com/job/83962281,jobsdbth
Data Analyst & Visualization (Base G Tower Rama9),Data & Analytics,Central Pattana,"Huai Khwang, Bangkok",TH,,,,,Full time,On-site,,2025-05-13,https://th.jobsdb.com/job/84188146,jobsdbth
Data Scientist (Customer Data Management) - Cement Business,Data & Analytics,The Siam Cement,"Bang Sue, Bangkok",TH,,,,,Full time,On-site,,2025-04-30,https://th.jobsdb.com/job/83902866,jobsdbth
Business Analyst (Government Services),Data & Analytics,Chan Wanich,"Bang Rak, Bangkok",TH,65000,95000,80000,THB,Full time,On-site,,2025-05-06,https://th.jobsdb.com/job/81414559,jobsdbth
Software Developer (Web/Mobile/Back-End/Full Stack),Software/Web Development,Playtorium,"Phaya Thai, Bangkok",TH,,,,,Full time,Hybrid,,2025-05-06,https://th.jobsdb.com/job/84017537,jobsdbth
Test Engineer (Manual / Automated),Quality Assurance & Testing,"Arise By Infinitas Co., Ltd.",Bangkok,TH,,,,,Full time,Hybrid,,2025-05-09,https://th.jobsdb.com/job/81291304,jobsdbth
Business Analyst,Data & Analytics,"Arise By Infinitas Co., Ltd.",Bangkok,TH,,,,,Full time,Hybrid,,2025-05-06,https://th.jobsdb.com/job/81182156,jobsdbth
System Administrator,Infra & System,SRS Integration,Bangkok,TH,50000,70000,60000,THB,Contract/Temp,On-site,,2025-05-27,https://th.jobsdb.com/job/84507590,jobsdbth
Project Manager,Project & Product Management,RAMS Solutions,"Sathon, Bangkok",TH,60000,90000,75000,THB,Full time,Hybrid,Manager,2025-05-27,https://th.jobsdb.com/job/84499957,jobsdbth
Business Analyst (Planning & Buget Team),Data & Analytics,Bangkok Bank,Bangkok,TH,,,,,Full time,On-site,,2025-04-29,https://th.jobsdb.com/job/83879439,jobsdbth
Business Analyst,Data & Analytics,"Krungthai Computer Services Co., Ltd.","Phaya Thai, Bangkok",TH,,,,,Full time,On-site,,2025-05-26,https://th.jobsdb.com/job/84482046,jobsdbth
Business Analyst (รับน้องจบใหม่),Data & Analytics,Bangkok Bank,Bangkok,TH,,,,,Full time,On-site,,2025-05-02,https://th.jobsdb.com/job/83963638,jobsdbth
Business Project Management (IT) / PM/ BA,Project & Product Management,ThaiBev,"Chatuchak, Bangkok",TH,,,,,Full time,On-site,,2025-05-27,https://th.jobsdb.com/job/84507815,jobsdbth
IT Project Management (3 Positions),Project & Product Management,Business Edge Personnel Services,Bangkok,TH,120000,180000,150000,THB,Full time,On-site,,2025-05-27,https://th.jobsdb.com/job/84503361,jobsdbth
AIS Digital Talent: The Masters (Management Trainee Program),Other,Advanced Info Service,Bangkok,TH,,,,,Full time,On-site,,2025-04-29,https://th.jobsdb.com/job/83888429,jobsdbth
NextGen Digital Partners (Tech Partner Program 2025),Other,Nestle,"Pathum Wan, Bangkok",TH,,,,,Full time,Hybrid,,2025-05-07,https://th.jobsdb.com/job/84049131,jobsdbth
Project Manager,Project & Product Management,Aigen,"Huai Khwang, Bangkok",TH,,,,,Full time,On-site,Manager,2025-05-26,https://th.jobsdb.com/job/84420912,jobsdbth
Data Analytics and Data Science,Data & Analytics,Bangchak,"Phra Khanong, Bangkok",TH,,,,,Full time,On-site,,2025-05-23,https://th.jobsdb.com/job/84438254,jobsdbth
Business Data Analyst,Data & Analytics,Plus 1 Company Limited,Bangkok,TH,40000,60000,50000,THB,Full time,Hybrid,,2025-05-19,https://th.jobsdb.com/job/84318331,jobsdbth
Project Manager/Project Management Officer/Project Admin,Project & Product Management,"H Lab Co., Ltd.","Pathum Wan, Bangkok",TH,,,,,Contract/Temp,Hybrid,Manager,2025-05-26,https://th.jobsdb.com/job/84475748,jobsdbth
Assistant General Manager (Head of IT Infrastructure),Infra & System,Regional Container Lines,"Yan Nawa, Bangkok",TH,,,,,Full time,Hybrid,Manager,2025-05-23,https://th.jobsdb.com/job/84438356,jobsdbth
Application Support and Development Associate,Other,PwC,"Sathon, Bangkok",TH,,,,,Full time,Hybrid,,2025-05-21,https://th.jobsdb.com/job/83684216,jobsdbth
Delivery Manager,Other,Tesla,"Saphan Sung, Bangkok",TH,,,,,Full time,,Manager,2025-05-27,https://th.jobsdb.com/job/84510946,jobsdbth
Product Owner (Application Specialist Lead),Project & Product Management,Noble Development,"Pathum Wan, Bangkok",TH,,,,,Full time,On-site,Manager,2025-05-27,https://th.jobsdb.com/job/83906191,jobsdbth
Assistant Big Data Analytics Manager (Marketing Analyst),Data & Analytics,Lion Corporation,"Yan Nawa, Bangkok",TH,,,,,Full time,On-site,Manager,2025-05-16,https://th.jobsdb.com/job/84262476,jobsdbth
Data Scientist,Data & Analytics,Global Power Synergy,Bangkok Metropolitan Region,TH,,,,,Full time,Hybrid,,2025-05-27,https://th.jobsdb.com/job/84507885,jobsdbth
Project Management Officer (IT)/เจ้าหน้าที่บริหารโครงการเทคโนโลยีสารสนเทศ (IT),Project & Product Management,Bangkok Life Assurance,"Bang Sue, Bangkok",TH,,,,,Full time,On-site,,2025-05-20,https://th.jobsdb.com/job/84182226,jobsdbth
Software Developer (New graduate are welcome),Software/Web Development,Mizuhada Group,Bangkok,TH,,,,,Full time,On-site,,2025-05-20,https://th.jobsdb.com/job/84334997,jobsdbth
Data Analyst,Data & Analytics,Ascend Group,Bangkok,TH,40000,55000,47500,THB,Full time,Hybrid,,2025-05-20,https://th.jobsdb.com/job/84338449,jobsdbth
Junior Back End Developer – Fast-growing software company,Software/Web Development,Cathcart Associates,Bangkok,TH,35000,50000,42500,THB,Full time,On-site,Junior,2025-05-02,https://th.jobsdb.com/job/83963102,jobsdbth
Project Manager/ Assistant Project Manager – Workplace & Corporate Office,Project & Product Management,Savills,Bangkok,TH,,,,,Full time,On-site,Manager,2025-05-19,https://th.jobsdb.com/job/84307088,jobsdbth
Project Manager - Contract,Project & Product Management,PTT Digital,"Chatuchak, Bangkok",TH,,,,,Full time,On-site,Manager,2025-05-27,https://th.jobsdb.com/job/84498811,jobsdbth
Internship : Data Analyst (4-6 months),Data & Analytics,Michelin,Bangkok Metropolitan Region,TH,,,,,Contract/Temp,Hybrid,Intern,2025-05-27,https://th.jobsdb.com/job/84506510,jobsdbth
Application Support Officer,Other,Aot Ground Aviation Services Company Limited,"Don Mueang, Bangkok",TH,,,,,Full time,Hybrid,,2025-05-15,https://th.jobsdb.com/job/84247454,jobsdbth
Business Analyst (Contract),Data & Analytics,PTT Digital,"Chatuchak, Bangkok",TH,,,,,Full time,On-site,,2025-05-15,https://th.jobsdb.com/job/84236666,jobsdbth
Service Desk Support / IT Support / Client Services,Infra & System,ThaiBev,"Chatuchak, Bangkok",TH,,,,,Full time,On-site,,2025-05-23,https://th.jobsdb.com/job/84424612,jobsdbth
Project Manager (International Project),Project & Product Management,Big C Supercenter,"Khlong Toei, Bangkok",TH,,,,,Full time,Hybrid,Intern,2025-05-27,https://th.jobsdb.com/job/84510234,jobsdbth
Product Management-IT Solutions,Project & Product Management,The Stock Exchange of Thailand,Bangkok,TH,,,,,Full time,Hybrid,,2025-05-21,https://th.jobsdb.com/job/84374641,jobsdbth
IT Manager (Infrastructure),Infra & System,"Rever Automotive Co., Ltd.","Pathum Wan, Bangkok",TH,,,,,Full time,Hybrid,Manager,2025-05-20,https://th.jobsdb.com/job/84352511,jobsdbth
Software Test Engineer (Fresh graduates welcome / Junior / Senior),Quality Assurance & Testing,Flowaccount,"Bang Rak, Bangkok",TH,40000,60000,50000,THB,Full time,On-site,Junior,2025-05-22,https://th.jobsdb.com/job/84400541,jobsdbth
Power BI Analyst,Data & Analytics,Siam City Cement,"Khlong Toei, Bangkok",TH,,,,,Full time,On-site,,2025-05-09,https://th.jobsdb.com/job/84125497,jobsdbth
"Business Analyst (Experience BA Bank, Government, Insurance)",Data & Analytics,Avalant,"Sathon, Bangkok",TH,40000,60000,50000,THB,Full time,On-site,,2025-05-26,https://th.jobsdb.com/job/84470879,jobsdbth
